Region,average_pp_ratio
Aloxe-Corton,1.51928379
Alsace,3.559217808
Anjou,5.343639354
Anjou Villages,3.321937322
Anjou Villages Brissac,2.849715074
Arbois,2.561121032
Ardèche,4.566666667
Atlantique,8.45
Aude Hauterive,1.704444444
Auxey-Duresses,1.9809103
Bandol,3.153045231
Banyuls,3.439655172
Barsac,1.832777778
Beaujolais,6.690240353
Beaujolais Blanc,4.998841058
Beaujolais Rosé,6.106978654
Beaujolais-Leynes,2.918552036
Beaujolais-Villages,5.848339987
Beaune,1.575686129
Bergerac,6.250392423
Bergerac Rosé,8.222222222
Bergerac Sec,5.302496728
Bienvenues Bâtard-Montrachet,0.201680672
Blanquette de Limoux,7.166666667
Blaye Côtes de Bordeaux,4.78562267
Bonnes-Mares,0.208888889
Bonnezeaux,2.014772727
Bordeaux,6.427068883
Bordeaux Blanc,6.133385833
Bordeaux Clairet,6.086682365
Bordeaux Côtes de Francs ,4.944444444
Bordeaux Rosé,6.432265079
Bordeaux Supérieur,5.272123458
Bourgogne,4.17428393
Bourgogne Aligoté,5.116039821
Bourgogne Côtes d’Auxerre,4.526315789
Bourgogne Epineuil,3.121000284
Bourgogne Gamay,5.34375
Bourgogne Hautes Côtes de Beaune,3.382328453
Bourgogne Hautes Côtes de Nuits,3.414625935
Bourgueil,4.578438181
Brouilly,4.477121236
Brulhois,3
Buzet,5.140724259
Bâtard-Montrachet,0.261033463
Cabardes,3.708333333
Cabernet de Saumur,7.083333333
Cadillac,2.77208248
Cadillac Côtes de Bordeaux,4.302015801
Cahors,3.916865765
Canon-Fronsac,2.003030303
Castillon Côtes de Bordeaux,3.881183396
Chablis,2.322492033
Chambertin,0.333148042
Chambertin Clos de Bèze,0.252349992
Chambolle-Musigny,0.928794936
Champagne,1.494437944
Chapelle-Chambertin,0.434774898
Charmes-Chambertin,0.492981513
Chassagne-Montrachet,1.276231764
Chevalier-Montrachet,0.197539884
Cheverny,4.851851852
Chignin,3.895
Chignin-Bergeron,3
Chinon,4.749099909
Chiroubles,4.498390244
Chorey-lès-Beaune,2.737080173
Château-Chalon,1.044444444
Châteaumeillant,5.375
Châteauneuf-du-Pape,1.548903628
Chénas,3.490918367
Clairette de Bellegarde,7.333333333
Clairette de Die Méthode Dioise Ancestrale,7.25
Clos de la Roche,0.565169029
Clos de Lambrays,0.446511628
Clos de Tart,0.307210031
Clos de Vougeot,0.422800915
Clos Saint-Denis,0.300189394
Collines Rhôdaniennes,6.090598291
Condrieu,1.108922272
Corbières,5.608987769
Corbières-Boutenac,1.732407407
Cornas,1.348599529
Corse,3.881139614
Corse Porto Vecchio,3.15
Corton,0.653977017
Corton Grèves,0.712121212
Corton Les Renardes,1.049342105
Corton Vergennes,0.46100713
Corton-Charlemagne,0.567094523
Corton-Pougets,0.924319419
Corton-Rognet,0.422222222
Costières de Nîmes,5.488766963
Coteaux Bourguignons,5.780614428
Coteaux d'Aix-en-Provence,4.843223611
Coteaux d'Ancenis,7.727272727
Coteaux de Verdon,2.25
Coteaux du Giennois,3.642780764
Coteaux du Languedoc,4.276622477
Coteaux du Languedoc Pic Saint Loup,4.378679654
Coteaux du Layon,3.064444444
Coteaux du Layon Chaume,2.468253968
Coteaux du Vendômois,5.816964286
Coteaux Varois,4.658356467
Coteaux Varois en Provence,5.172265094
Cour-Cheverny,4.55
Criots-Bâtard-Montrachet,0.25
Crozes-Hermitage,2.422587107
Crémant d'Alsace,3.887021846
Crémant de Bordeaux,2.964285714
Crémant de Bourgogne,3.940730613
Crémant de Jura,2.967171717
Crémant de Limoux,5.116666667
Crémant de Loire,4.557867142
Cérons,3.107142857
Cévennes,5.835714286
Côte Chalonnaise,4.52877886
Côte de Beaune,2.141558442
Côte de Beaune-Villages,2.216666667
Côte de Brouilly,4.146151385
Côte de Nuits-Villages,2.682662485
Côte Rôtie,0.976333669
Côtes Catalanes,6.172222222
Côtes de Bergerac,4.043645651
Côtes de Bordeaux,4.441506605
Côtes de Bourg,4.446732674
Côtes de Castillon,3.5
Côtes de Duras,5.216666667
Côtes de Forez,5.6
Côtes de Gascogne,7.355679569
Côtes de Nuits Villages,1.500383142
Côtes de Provence,4.528570669
Côtes de Provence La Londe,3.602250086
Côtes de Provence Sainte-Victoire,3.904537474
Côtes de Thongue,4.45
Côtes du Frontonnais,9.444444444
Côtes du Jura,2.727272727
Côtes du Lot,4.598579693
Côtes du Luberon,6.406666667
Côtes du Marmandais,5.989827765
Côtes du Rhône,5.730947458
Côtes du Rhône Villages,5.227274414
Côtes du Roussillon,3.609366065
Côtes du Roussillon Les Aspres,1.82
Côtes du Roussillon Villages,3.351419293
Côtes du Roussillon Villages Caramany,3.75
Côtes du Roussillon Villages Tautavel,3.353174603
Côtes du Tarn,5.577045302
Côtes-du-Ventoux,7.573380867
Echézeaux,0.465154077
Entre-Deux-Mers,6.701154401
Faugères,4.365694755
Fitou,5.513169287
Fixin,2.404894661
Fleurie,3.970664288
France,7.5
Francs Côtes de Bordeaux,4.03621518
Fronsac,4.04867113
