Variety,avg_pp_ratio
Aligoté,4.707198948
Alsace white blend,4.422347235
Altesse,5.085087719
Auxerrois,3.58125
Bordeaux-style Red Blend,4.084686019
Bordeaux-style White Blend,5.068754701
Braucol,4.485249042
Cabernet Franc,4.16853671
Cabernet Franc-Cabernet Sauvignon,3.726950948
Cabernet Merlot,7.083333333
Cabernet Sauvignon,7.741241968
Cabernet Sauvignon-Merlot,7.40530303
Cabernet Sauvignon-Syrah,6.285714286
Cabernet-Syrah,2.6625
Carcajolu,4.19047619
Carignan,5.306547619
Carignan-Grenache,5.294117647
Carignan-Syrah,5.235294118
Champagne Blend,1.574630052
Chardonnay,2.720966466
Chardonnay-Pinot Gris,5
Chardonnay-Sauvignon,5.8
Chardonnay-Sauvignon Blanc,5.5
Chardonnay-Viognier,5.617777778
Chasselas,4.255980861
Chenin Blanc,3.984514026
Chenin Blanc-Chardonnay,6.184811104
Cinsault,3.782608696
Clairette,7.333333333
Colombard,9.055555556
Colombard-Sauvignon Blanc,8.078846154
Colombard-Ugni Blanc,8.264957265
Duras,4.733174603
Edelzwicker,4.736842105
Fer Servadou,5.316666667
Gamay,4.815175311
Gamay Noir,5.375
Gewürztraminer,3.20722369
Grenache,3.627347672
Grenache Blanc,2.577380952
Grenache Noir,9.555555556
Grenache-Carignan,4.489974937
Grenache-Syrah,5.949559083
Grolleau,1.666666667
Gros and Petit Manseng,4.721157165
Gros Manseng,4.589349845
Gros Plant,5.375
G-S-M,4.596962306
Jacquère,5.411893091
Loin de l'Oeil,3.055555556
Malbec,4.076117059
Malbec-Merlot,5.308367524
Malbec-Tannat,3.075909091
Mansois,5.008223684
Marsanne,2.737674779
Marsanne-Roussanne,1.733108108
Marselan,7.25
Mauzac,5.092776058
Melon,6.00427367
Merlot,5.290362441
Merlot-Cabernet Sauvignon,7.25
Merlot-Malbec,5.733333333
Merlot-Tannat,4.45
Mondeuse,4.279022556
Mourvèdre,3.576923077
Muscadelle,3.236909323
Muscat,3.428184212
Muscat Blanc à Petits Grains,7.25
Muscat d'Alexandrie,5.5
Negrette,5.153825473
Nielluciu,3.666666667
Petit Manseng,3.655830228
Petite Verdot,3.36
Picpoul,6.956449106
Pinot Auxerrois,4.682725511
Pinot Blanc,4.892771718
Pinot Gris,3.50370399
Pinot Meunier,1.671739117
Pinot Noir,2.209295625
Pinot Noir-Gamay,5.264050266
Poulsard,3.56
Provence red blend,3.462346677
Provence white blend,4.124834514
Prunelard,3.956521739
Red Blend,5.104418353
Rhône-style Red Blend,3.955660123
Rhône-style White Blend,3.409356114
Riesling,3.367566147
Rolle,4.012280702
Romorantin,4.55
Rosé,5.213056252
Roussanne,4.194117647
Sacy,4.578947368
Sauvignon,5
Sauvignon Blanc,4.099553585
Sauvignon Blanc-Chardonnay,4.888888889
Sauvignon Blanc-Semillon,7.166666667
Sauvignon-Sémillon,7.166666667
Savagnin,1.953015873
Sciaccerellu,4.19047619
Semillon-Sauvignon Blanc,5.733333333
Shiraz,12
Sparkling Blend,4.218278246
Sylvaner,4.38933846
Syrah,2.338595208
Syrah-Cabernet,3.583333333
Syrah-Grenache,6.258333333
Syrah-Merlot,7.818181818
Syrah-Mourvèdre,4.416666667
Sémillon,6.615384615
Tannat,3.651973301
Tannat-Cabernet,4.879688191
Tannat-Cabernet Franc,5.105590062
Tannat-Merlot,6.21
Tannat-Syrah,8.7
Trousseau,2.333333333
Ugni Blanc-Colombard,8.037373737
Vermentino,3.606186869
Viognier,3.220425059
Viognier-Chardonnay,5.176470588
White Blend,5.474407822
