country,avg_points,avg_price,avg_pp_ratio
US,36.55649683,88.6013096,3.335923456
France,41.606469,88.81989708,3.788515994
Italy,39.50153413,88.60917924,3.49379577
Spain,28.18209055,87.25233023,4.944100428
Portugal,26.12118532,88.2927908,5.51722495
Chile,21.41384462,86.64691235,5.658516008
Argentina,23.77392836,86.71109806,5.260493301
Austria,31.01992032,90.12270916,3.752250359
Australia,36.35402522,88.64694471,4.197236485
Germany,41.22055675,89.83618844,3.727491275
New Zealand,26.63692308,88.23846154,4.171012601
South Africa,24.56537102,87.74204947,4.973714091
Israel,31.60273973,88.23287671,3.631740526
Greece,21.92626728,87.20737327,4.786207955
Canada,35.71287129,89.26732673,3.102892669
